halId_s;docType_s;title_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;conferenceTitle_s;fr_keyword_s;labStructAcronym_s
hal-01991635;COMM;QPTAS and Subexponential Algorithm for Maximum Clique on Disk Graphs;Edouard Bonnet,Panos Giannopoulos,Eun Jung Kim,Paweł Rzążewski,Florian Sikora;11/06/2018;0.info,0.info,1.info.info-cg,0.info,1.info.info-ds;;SoCG 2018;;LIP,LAMSADE
hal-02311536;ART;Error Estimate and Fairness in Resource Allocation with Inaccurate Information Sharing;Francesca Fossati,Deep Medhi,Stefano Moretti,Stefano Secci;01/12/2019;0.info,1.info.info-ni;IEEE Networking Letters;;;CEDRIC,LAMSADE
hal-01445492;COMM;A Mood Value for Fair Resource Allocations;Francesca Fossati,Stefano Moretti,Stefano Secci;12/06/2017;0.info,1.info.info-ni,0.info,1.info.info-gt;;IFIP Networking 2017;;LIP6,LAMSADE
hal-02303821;ART;Chore division on a graph;Sylvain Bouveret,Katarína Cechlarova,Julien Lesca;2019;0.info;Autonomous Agents and Multi-Agent Systems;;Computational social choice,Resource allocation,Fair division,Indivisible chores;LIG,LAMSADE
hal-02285040;COMM;Interactive Elicitation of a Majority Rule Sorting Model with Maximum Margin Optimization;Ons Nefla,Meltem Öztürk,Paolo Viappiani,Imène Brigui-Chtioui;25/10/2019;0.info,1.info.info-ai;;ADT 2019 - 6th International Conference on Algorithmic Decision Theory;;LAMSADE
hal-01630524;ART;A genome-wide microRNA profiling indicates miR-424-5p and miR-503-5p as regulators of ALK expression in neuroblastoma;Marilena de Mariano,Sara Stigliani,Stefano Moretti,Federica Parodi,Michela Croce,Cinzia Bernardi,Aldo Pagano,Gian Paolo Tonini,Silvano Ferrini,Luca Longo;2017;0.sdv,1.sdv.can,0.sdv,1.sdv.neu,2.sdv.neu.nb,0.sdv,1.sdv.bbm,2.sdv.bbm.gtp;Oncotarget;;MiR-503-5p,Neuroblastoma,ALK,MiR-424-5p,MicroRNA;LAMSADE
hal-01991645;COMM;The PACE 2018 Parameterized Algorithms and Computational Experiments Challenge: The Third Iteration;Edouard Bonnet,Florian Sikora;22/08/2018;0.info,0.info,1.info.info-ds;;IPEC 2018;;LIP,LAMSADE
hal-02098420;ART;Exact approaches for the knapsack problem with setups;Fabio Furini,Michele Monaci,Emiliano Traversi;2018;0.info;Computers and Operations Research;;Knapsack problems,Column generation,Relaxations,Branch-and-bound algorithms,Computational experiments;LAMSADE,LIPN
hal-01632972;ART;Distance Transformation for Network Design Problems;Ali Ridha Mahjoub,Michael Poss,Luidi Simonetti,Eduardo Uchoa;2019;0.info,1.info.info-ro;SIAM Journal on Optimization;;;LAMSADE,LIRMM
hal-02308142;ART;An in-silico analysis of information sharing systems for adaptable resources management: A case study of oyster farmers;Nicolas Paget,Bruno Bonté,Olivier Barreteau,Gabriella Pigozzi,Pierre Maurel;2019;0.info;Socio-Environmental Systems Modelling;;;LAMSADE,UMR G-EAU,UMR TETIS
hal-02290131;COMM;Attributes regrouping in Fuzzy Rule Based Classification Systems: an intra-classes approach;Amel Borgi,Rim Kalaï,Hayfa Zgaya;28/10/2018;0.math,0.spi,0.info,0.info,1.info.info-mo;;In the 15th ACS/IEEE International Conference on Computer Systems and Applications AICCSA 2018;;LIPAH,LAMSADE,ILIS,CERIM
hal-01569582;COMM;Mining rare sequential patterns with ASP;Ahmed Samet,Thomas Guyet,Benjamin Negrevergne;04/09/2017;0.info,1.info.info-ai,0.info,1.info.info-ds,0.info,1.info.info-lo;;ILP 2017 - 27th International Conference on Inductive Logic Programming;;IRISA,LAMSADE
hal-01819205;COMM;Disease Classification in Metagenomics with 2D Embeddings and Deep Learning;Thanh Hai Nguyen,Edi Prifti,Yann Chevaleyre,Nataliya Sokolovska,Jean-Daniel Zucker;20/06/2018;0.info,0.info,1.info.info-bi,0.info,1.info.info-cv,0.info,1.info.info-im,0.info,1.info.info-lg;;La Conférence sur l'Apprentissage automatique (CAp);;ICAN,LAMSADE,ICAN
hal-01178490;COMM;PAXQuery: Parallel Analytical XML Processing;Jesús Camacho-Rodríguez,Dario Colazzo,Ioana Manolescu,Juan A. M. Naranjo;31/05/2015;0.info,1.info.info-db;;ACM SIGMOD International Conference on Management of Data 2015;;LAMSADE,LRI,LRI
lirmm-01264011;COMM;An FPT Algorithm and a Polynomial Kernel for Linear Rankwidth-1 Vertex Deletion;Christophe Paul,Eun Jung Kim,Mamadou Moustapha Kanté,O-Joung Kwon;2015;0.info,1.info.info-dm;;IPEC: International symposium on Parameterized and Exact Computation;;LIRMM,LAMSADE,LIMOS
hal-01875381;COMM;Two Node-Disjoint Paths Routing for Energy-Efficiency and Network Reliability;Rihab Maaloul,Raouia Taktak,Lamia Chaari,Bernard Cousin;26/07/2018;0.info,1.info.info-ni;;25th International Conference on Telecommunication (ICT 2018);;LAMSADE,IRISA
hal-02277658;COMM;Modélisation des problèmes de l’allocation des planches et des postes à quai;Hamza Bouzekri,Gülgün Alpan,Vincent Giard;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Allocation des planches,Programmation linéaire zéro-un,Contraintes disjonctives spatio-temporelles,Gestion portuaire,Allocation des postes à quai;G-SCOP,LAMSADE
hal-02301982;COMM;Combiner les sémantiques à base d'extensions et les sémantiques à base de classement en argumentation abstraite;Elise Bonzon,Jérôme Delobelle,Sébastien Konieczny,Nicolas Maudet;01/07/2019;0.info,1.info.info-ai;;13èmes Journées d’Intelligence Artificielle Fondamentale (JIAF 2019);;LIPADE - EA 2517,CRIL,LAMSADE
hal-02308078;COMM;Ordonnancement réactif pour le suivi de cibles mobiles : de la robustesse à la garantie de performance en ligne;Florian Delavernhe,Charly Lersteau,André Rossi,Marc Sevaux;2019;0.info;;20ème congrès annuel de la société Française de Recherche Opérationnelle et d’Aide à la Décision (ROADEF 2019);;LERIA,LAMSADE,Lab-STICC
hal-01495356;COUV;An MCDA Approach for Evaluating Hydrogen Storage Systems for Future Vehicles;Florent Montignac,Vincent Mousseau,Denis Bouyssou,Mohamed Ali Aloulou,Benjamin Rousval,Sébastien Damart;2015;0.info;;;;LITEN,LGI,LAMSADE,DRM
hal-01926860;COMM;Multistage Matchings;Evripidis Bampis,Bruno Escoffier,Michael Lampis,Vangelis Th. Paschos;18/06/2018;0.info;;16th Scandinavian Symposium and Workshops on Algorithm Theory (SWAT 2018);;LAMSADE
hal-01991659;ART;Complexity of Grundy coloring and its variants;Edouard Bonnet,Foucaud Florent,Eunjung Kim,Florian Sikora;2018;0.info,0.info,1.info.info-cc,0.info,1.info.info-ds;Discrete Applied Mathematics;;;LIP,LAMSADE
hal-01867030;ART;πSOD-M: Building SOC Applications in the Presence of Non-Functional Requirements,πSOD-M: Construction d'applications à base de services en présence de besoins non-functionnels;Khalid Belhajjame,Valeria de Castro,Javier Espinosa-Oviedo,Martin Musicante,Umberto Souza da Costa,Plácido Souza Neto,Genoveva Vargas-Solar;2018;0.info,1.info.info-db,0.info,1.info.info-se;International Journal of Web and Grid Services;;;LAMSADE,LAFMIA,LIG
hal-02277615;COMM;Évaluation économique du pilotage opérationnel - une application aux décisions d’ordonnancement d’un atelier d’engrais;Najat Bara,Frédéric Gautier,Vincent Giard,Frédéric Fontane;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Décisions opérationnelles,Coûts d’opportunité,Comptabilité de gestion,Operational decisions,Opportunity costs,Cost accounting;UP1,LAMSADE
hal-02277642;COMM;Système interactif d'aide à la décision pour la planification de l'extraction minière;Najoua Alaoui,Ahlam Azzamouri,Selwa Elfirdoussi,Pierre Fenies,Vincent Giard;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Système interactif d’aide à la décision SIAD,Interface graphique,Planification,Mine à ciel ouvert,Decision Support System DSS,Graphical user interface,Scheduling,Open-pit mine;LAMSADE
hal-02277532;COMM;Reverse blending : une réponse efficace au défi de la personnalisation de masse dans la production de granulés;Latifa Benhamou,Vincent Giard,Pierre Fenies,Frédéric Fontane,Mehdi Khouloud;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Fertilizer,Personnalisation de masse,Production continue,Blending,Conception d’input,Engrais,Mass customization,Continuous production,Input conception;LAMSADE
hal-01169275;COMM;Andromeda: A System for Processing Queries and Updates on Big XML Documents;Nicole Bidoit,Dario Colazzo,Carlo Sartiani,Alessandro Solimando,Federico Ulliana;2015;0.info,1.info.info-db;;BigDa: Big Data Applications and Principles;;LRI,LRI,LAMSADE,DMI,LIRMM,CRISAM
hal-01399842;ART;Positional scoring-based allocation of indivisible goods;Dorothea Baumeister,Sylvain Bouveret,Jérôme Lang,Nhan-Tam Nguyen,Trung Thanh Nguyen,Jörg Rothe,Abdallah Saffidine;2017;0.info;Autonomous Agents and Multi-Agent Systems;;Computational social choice,Resource allocation,Fair division,Indivisible goods,Preferences;LIG,LAMSADE
hal-02177672;ART;QPLIB: a library of quadratic programming instances;Fabio Furini,Emiliano Traversi,Pietro Belotti,Antonio Frangioni,Ambros Gleixner,Nick Gould,Leo Liberti,Andrea Lodi,Ruth Misener,Hans Mittelmann,Nikolaos V. Sahinidis,Stefan Vigerske,Angelika Wiegele;2019;0.info;Mathematical Programming Computation;;Instance library,Quadratic programming,Mixed-Integer Quadratically Constrained Quadratic Programming,Binary quadratic programming;LAMSADE,LIPN,ZIB,LIX
hal-01200696;COMM;Elicitation of a Utility from Uncertainty Equivalent Without Standard Gambles;Christophe Labreuche,Sébastien Destercke,Brice Mayag;15/07/2015;0.info,1.info.info-ai,0.info,1.info.info-oh;;European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty 2015;;UMP CNRS/THALES,Labex MS2T,Heudiasyc,LAMSADE
hal-01413229;COMM;Learning opening books in partially observable games: using random seeds in Phantom Go;Tristan Cazenave,Jialin Liu,Fabien Teytaud,Olivier Teytaud;2016;0.info,1.info.info-gt;;Computer intelligence and Games (CIG 2016);;LAMSADE,LISIC,LRI,LRI
hal-01256660;COMM;Go Complexities;Abdallah Saffidine,Olivier Teytaud,Shi-Jim Yen;2015;0.math,1.math.math-oc;;Advances in Computer Games;;LAMSADE,LRI,LRI
hal-01584984;COMM;Expert Opinion Extraction from a Biomedical Database;Ahmed Samet,Thomas Guyet,Benjamin Negrevergne,Tien-Tuan Dao,Tuan Nha Hoang,Marie-Christine Ho Ba Tho;2017;0.info,1.info.info-ai,0.info,1.info.info-db;;Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty (ECSQARU);;IRISA,LAMSADE,BMBI
hal-01223116;COMM;Depth\, balancing\, and limits of the Elo model;Marie-Liesse Cauwet,Olivier Teytaud,Hua-Min Liang,Shi-Jim Yen,Hung-Hsuan Lin,I-Chen Wu,Tristan Cazenave,Abdallah Saffidine;31/08/2015;0.info,1.info.info-gt;;IEEE Conference on Computational Intelligence and Games 2015;;LRI,LRI,LAMSADE
hal-01768385;COUV;SHARP: Harmonizing and Bridging Cross-Workflow Provenance;Alban Gaignard,Khalid Belhajjame,Hala Skaf-Molli;2017;0.info,1.info.info-ai;;;;ITX,LAMSADE
hal-01768401;COMM;SHARP: Harmonizing Galaxy and Taverna workflow provenance;Alban Gaignard,Khalid Belhajjame,Hala Skaf-Molli;28/05/2017;0.info,1.info.info-ai;;SeWeBMeDA 2017 : Semantic Web solutions for large-scale BioMedical Data Analtics;;ITX,LAMSADE,LS2N
hal-01394253;ART;Riemannian approaches in Brain-Computer Interfaces: a review;Florian Yger,Maxime Berar,Fabien Lotte;2017;0.info,1.info.info-ai,0.info,1.info.info-bt,0.info,1.info.info-lg,0.info,1.info.info-ts,0.scco,1.scco.neur;IEEE Transactions on Neural Systems and Rehabilitation Engineering;;;LAMSADE,LITIS,LaBRI
hal-01767559;ART;The paradoxical extinction of the most charismatic animals;Franck Courchamp,Ivan Jaric,Céline Albert,Yves Meinard,William J. Ripple,Guillaume Chapron;2018;0.info;PLoS Biology;;;ESE,IGB,LAMSADE,Swedish University of Agricultural Sciences
hal-01093013;ART;Evaluation and Improvement of a Transition Business Process: A Case Study guided by a Semantic Quality-based Approach;Virginie Thion,Malika Grim-Yefsah,Camille Rosenthal-Sabroux,Samira Si-Said Cherfi;2016;0.info,0.info,1.info.info-mo,0.info,1.info.info-db;Information Systems Management;;;IRISA,LAMSADE,CEDRIC
hal-01924255;COMM;Vers une nouvelle interface visuelle dédiée à l'analyse des récoltes multisources de données;Zied Othmane,Damien Bodénès,Amine Aït-Younes,Cyril de Runz;2018;0.info;;AtelierVIF@EGC2018;Classification,Vandalisme,Information Géographique Volontaire;CRESTIC,LAMSADE
hal-01245531;COMM;The Rectangular Seeds of Domineering\, Atari-Go and Breakthrough;Tristan Cazenave,Jialin Liu,Olivier Teytaud;31/08/2015;0.info,1.info.info-ai,0.math,1.math.math-oc;;2015 IEEE Conference on Computational Intelligence and Games (CIG);;LAMSADE,LRI,LRI
hal-01196688;COMM;Génération de plans à base de connaissances;Anaëlle Wilczynski,Bruno Zanuttini,Jérôme Lang;29/06/2015;0.info,1.info.info-ai;;10es Journées Francophones sur la Planification, la Décision et l'Apprentissage (JFPDA 2015);;LAMSADE,GREYC,IRIT
hal-01425321;COMM;Reuse-based Optimization for Pig Latin;Jesús Camacho-Rodríguez,Dario Colazzo,Melanie Herschel,Ioana Manolescu,Soudip Roy Chowdhury;2016;0.info,1.info.info-db;;25th ACM International on Conference on Information and Knowledge Management;;LAMSADE,IPVS,LIX,LIX
hal-01351929;ART;Integrated production and outbound distribution scheduling problems with job release dates and deadlines;Liang-Liang Fu,Mohamed Ali Aloulou,Christian Artigues;2018-08;0.info,1.info.info-ro;Journal of Scheduling;;;LAMSADE,LAAS
lirmm-02342803;COMM;Data-Compression for Parametrized Counting Problems on Sparse Graphs;Eun Jung Kim,Maria Serna,Dimitrios M. Thilikos;2018;0.info,1.info.info-dm,0.info,1.info.info-ds;;ISAAC: International Symposium on Algorithms and Computation;;LAMSADE,LSI,LIRMM
hal-01183004;ART;A Solution to a Problem of D. Lau: Complete Classification of Intervals in the Lattice of Partial Boolean Clones;Miguel Couceiro,Lucien Haddad,Karsten Schölzel,Tamas Waldhauser;2017;0.info,0.math;Journal of Multiple-Valued Logic and Soft Computing;;;LORIA,LAMSADE,RMCC
hal-01905491;ART;On the complexity of minimizing median normal forms of monotone Boolean functions and lattice polynomials;Miguel Couceiro,Pierre Mercuriali,Romain Péchoux,Abdallah Saffidine;2019;0.math,1.math.math-ac,0.info,1.info.info-dm,0.info,1.info.info-lo;Journal of Multiple-Valued Logic and Soft Computing;;;LORIA,LORIA,LAMSADE
hal-02024887;ART;A closed sets based learning classifier for implicit authentication in web browsing;Diyé Dia,Giacomo Kahn,Fabien Labernia,Yannick Loiseau,Olivier Raynaud;2018-01;0.info,0.info,1.info.info-ai;Discrete Applied Mathematics;;;LIMOS,LAMSADE
hal-01617015;ART;Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity;Stéphane Airiau,Elise Bonzon,Ulle Endriss,Nicolas Maudet,Julien Rossit;2017;0.info,1.info.info-ai;Journal of Artificial Intelligence Research;;;LAMSADE,LIPADE - EA 2517,ILLC,LIP6
hal-01539561;ART;Exact and superpolynomial approximation algorithms for the densest $k$-subgraph problem;Nicolas Bourgeois,Aristotelis Giannakos,Giorgio Lucarelli,Ioannis Milis,Vangelis Th Paschos;2017;0.info,1.info.info-ds,0.info,1.info.info-ro;European Journal of Operational Research;;;SAMM,LAMSADE,LIG
hal-01910226;ART;Fair Resource Allocation in Systems with Complete Information Sharing;Francesca Fossati,Sahar Hoteit,Stefano Moretti,Stefano Secci;16/12/2018;0.info,1.info.info-ni;IEEE/ACM Transactions on Networking;;;LAMSADE,CEDRIC
hal-01889785;COMM;Sugeno Integral for Rule-Based Ordinal Classification;Quentin Brabant,Miguel Couceiro,Didier Dubois,Henri Prade,Agnès Rico;13/07/2018;0.info,1.info.info-dm,0.info,1.info.info-lg;;IJCAI-ECAI 2018 - Workshop on Learning and Reasoning: Principles and Applications to Everyday Spatial and Temporal Knowledge;;LORIA,LAMSADE,IRIT,ERIC
hal-01653334;ART;Disjoint cycles of different lengths in graphs and digraphs;Julien Bensmail,Ararat Harutyunyan,Ngoc Khang Le,Binlong Li,Nicolas Lichiardopol;08/12/2017;0.info,1.info.info-dm;The Electronic Journal of Combinatorics;;;CRISAM,I3S,LAMSADE,LIP
emse-01310381;ART;Bimodal traffic regulation system: A multi-agent approach;Flavien Balbo,Neïla Bhouri,Suzanne Pinson;2016-04;0.info,1.info.info-mo;Web Intelligence and Agent Systems : An International Journal (WIAS);;;ISCOD-ENSMSE,LHC,IFSTTAR/COSYS/GRETTIA,LAMSADE
halshs-02065282;ART;Compromise Rules Revisited;Vincent Merlin,Ipek Özkal Sanver,Mehmet Remzi Sanver;2019-02;0.shs,1.shs.eco;Group Decision and Negotiation;;;CREM,LAMSADE
hal-02181518;ART;Coloring tournaments: From local to global;Ararat Harutyunyan,Tien-Nam Le,Stéphan Thomassé,Hehui Wu;2019;0.info,0.math,0.math,1.math.math-co;Journal of Combinatorial Theory, Series B;;Digraph coloring,Erdős–Hajnal conjecture,Chromatic number of tournaments;LAMSADE,LHC,IUF,LIP
hal-01483807;ART;Inertial Game Dynamics and Applications to Constrained Optimization;Rida Laraki,Panayotis Mertikopoulos;2015;0.info;SIAM Journal on Control and Optimization;;;LAMSADE,LIG
hal-02277540;COMM;Flexibilité du blending dynamique avec gammes alternatives et stock de sécurité : mise en oeuvre sur une chaîne logistique minière;Ahlam Azzamouri,Mouna Bamoumen,Hajar Hilali,Vincent Hovelaque,Vincent Giard;2019;0.info;;13ème Conférence internationale de CIGI QUALITA 2019;Blending dynamique,Mine,Gammes alternatives,Stock de sécurité,Gestion des risques,Dynamic blending,Alternative routings,Security stock,Risk management;CREM,LAMSADE
hal-01660934;COMM;Equal Cost Multiple Path Energy-Aware Routing in Carrier-Ethernet Networks with Bundled Links;Rihab Maaloul,Raouia Taktak,Lamia Chaari,Bernard Cousin;30/10/2017;0.info,1.info.info-ni;;14th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA 2017);;LAMSADE,IRIT,IRISA
hal-01837155;COMM;L'« Observatoire Hommes-Milieux » : un expert indépendant au sein d'une controverse environnementale complexe. Le cas de la gestion des résidus de traitement de bauxite à Gardanne\, France;Y. Noack,Juliette Rouchier,Jean-Claude Raynal;04/07/2018;0.sde,1.sde.es,0.sdu,1.sdu.envi,0.shs,1.shs.socio;;Colloque International Interdisciplinaire Contaminations, Environnement, Santé et Société;Bauxite,Conflit environnemental,Boues rouges,OHM Bassin Minier de Provence,LabEx DRIIHM,Observatoires Hommes-Milieux;CEREGE,LAMSADE
hal-01858703;ART;Energy-Aware Routing in Carrier-Grade Ethernet using SDN Approach;Rihab Maaloul,Raouia Taktak,Lamia Chaari,Bernard Cousin;2018-09;0.info,1.info.info-ni;IEEE Transactions on Green Communications and Networking;;;LAMSADE,IRIT,IRISA
hal-01856066;ART;Méthodologie pour identifier les terrains d'étude dans des corpus scientifiques,Methodology for identifying study sites in scientific corpus;Eric Kergosien,Marie-Noelle Bessagnet,Maguelonne Teisseire,Joachim Schöpfel,Mohammad Amin Farvardin,Stéphane Chaudiron,Bernard Jacquemin,Annig Le Parc-Lacayrelle,Mathieu Roche,Christian Sallaberry,Jean-Philippe Tonneau,Amin Farvardin;2017;0.shs,1.shs.info,0.info,1.info.info-ir,0.info,1.info.info-tt;Revue des Sciences et Technologies de l'Information -  Série Document Numérique;;Analyse du document,Fouille de textes,Traitement automatique des langues,Recherche d'information géographique,Scientométrie;GERIICO,LIUPPA,UMR TETIS,LAMSADE
hal-01991541;COMM;Designing RNA Secondary Structures is Hard;Edouard Bonnet,Paweł Rzążewski,Florian Sikora;21/04/2018;0.info,0.info,1.info.info-bi,0.info,1.info.info-cc;;RECOMB 2018;;LIP,LAMSADE
hal-02193344;ART;Un diagnostic de gouvernance basé sur le discours des acteurs : le cas du littoral marseillais « côté mer » (Marseille\, France);Dominique Ami,Juliette Rouchier,Stéphane Calandra;2018;0.info;VertigO : La Revue Électronique en Sciences de l'Environnement;;IAD,Parc national des Calanques,Perception de la gouvernance;AMSE,LAMSADE
hal-01846433;ART;A Review of Classification Algorithms for EEG-based Brain-Computer Interfaces: A 10-year Update;Fabien Lotte,Laurent Bougrain,Andrzej Cichocki,Maureen Clerc,Marco Congedo,Alain Rakotomamonjy,Florian Yger;01/04/2018;0.info,1.info.info-ai,0.info,1.info.info-cv,0.info,1.info.info-lg,0.spi,1.spi.signal;Journal of Neural Engineering;;;LaBRI,BSI,LORIA,CRISAM,GIPSA-lab,LITIS,LAMSADE
hal-01336773;COMM;The Visual Object Tracking VOT2015 Challenge Results;Matej Kristan,Jiri Matas,AleÅ¡ Leonardis,Michael Felsberg,Luka Cehovin,Gustavo FernÃ¡ndez,Tomas Vojir,Gustav HÃ¤ger,Georg Nebehay,Roman Pflugfelder,Abhinav Gupta,Adel Bibi,Alan LukeÅ¾iÄ,Alvaro Garcia-Martin,Amir Saffari,Alfredo Petrosino,AndrÃ©s Montero,Anton Varfolomieiev,Atilla Baskurt,Baojun Zhao,Bernard Ghanem,Brais Martinez,Byeongju Lee,Bohyung Han,Chaohui Wang,Christophe Garcia,Chunyuan Zhang,Cordelia Schmid,Dacheng Tao,Daijin Kim,Dafei Huang,Danil Prokhorov,Dawei Du,Dit-Yan Yeung,Eraldo Ribeiro,Fahad Shahbaz Khan,Fatih Porikli,Filiz Bunyak,Gao Zhu,Guna Seetharaman,Hilke Kieritz,Hing Yau,Hongdong Li,Honggang Qi,Horst Bischof,Horst Possegger,Hyemin Lee,Hyeonseob Nam,Ivan Bogun,Jae-Chan Jeong,Jae-Il Cho,Jae-Yeong Lee,Jianke Zhu,Jianping Shi,Jiatong Li,Jiaya Jia,Jiayi Feng,Jin Gao,Jin Young Choi,Ji-Wan Kim,Jochen Lang,Jose M. Martinez,Jongwon Choi,Junliang Xing,Kai Xue,Kannappan Palaniappan,Karel Lebeda,Karteek Alahari,Ke Gao,Kimin Yun,Kin Hong Wong,Lei Luo,Liang Ma,Lipeng Ke,Longyin Wen,Luca Bertinetto,Mahdieh Pootschi,Mario Maresca,Martin Danelljan,Mei Wen,Mengdan Zhang,Michael Arens,Michel Valstar,Ming Tang,Ming-Ching Chang,Muhammad Khan,Nana Fan,Naiyan Wang,Ondrej Miksik,Philip H. S. Torr,Qiang Wang,Rafael Martin-Nieto,Rengarajan Pelapur,Richard Bowden,Robert LaganiÃ¨re,Salma Moujtahid,Sam Hare,Simon Hadfield,Siwei Lyu,Siyi Li,Song-Chun Zhu,Stefan Becker,Stefan Duffner,Stephen Hicks,Stuart Golodetz,Sunglok Choi,Tianfu Wu,Thomas Mauthner,Tony Pridmore,Weiming Hu,Wolfgang HÃ¼bner,Xiaomeng Wang,Xin Li,Xinchu Shi,Xu Zhao,Xue Mei,Yao Shizeng,Yang Hua,Yang Li,Yang Lu,Yuezun Li,Zhaoyun Chen,Zehua Huang,Zhe Chen,Zhe Zhang,Zhenyu He,Zhibin Hong;2015;0.info,1.info.info-cv,0.info,1.info.info-ti;Visual Object Tracking Workshop 2015 at ICCV2015;;LIRIS,BIT,LJK,NICTA,LAMSADE,KAIST,CMH,LPC,LISE,IMPMC,LGI
hal-01516082;ART;Scientific workflows for computational reproducibility in the life sciences: Status\, challenges and opportunities;Sarah Cohen-Boulakia,Khalid Belhajjame,Olivier Collin,Jérôme Chopard,Christine Froidevaux,Alban Gaignard,Konrad Hinsen,Pierre Larmande,Yvan Le Bras,Frédéric Lemoine,Fabien Mareuil,Hervé Ménager,Christophe Pradal,Christophe Blanchet;2017-10;0.info,1.info.info-bi,0.info,1.info.info-ds,0.info,1.info.info-db,0.info,1.info.info-ir;Future Generation Computer Systems;;;LIRMM,CRISAM,LRI,IBC,LAMSADE,IRISA,CRISAM,UMR AGAP,SSOLEIL,CBM,UMR DIADE,C3BI,UMR AGAP,IFB-CORE
